brand,sku,price_positioning,offer_price,regular_price,basket_price,discount_price
ancient greek sandals,1082954.4285714286,33.33333333333333,92.78571428571429,136.42857142857142,97.78571428571429,43.642857142857146
andrew gn,1170644.3333333333,0.0,984.8333333333334,1763.6666666666667,984.8333333333334,778.8333333333334
anine bing,1148557.5,0.0,99.0,219.75,104.0,120.75
anissa kermiche,1171220.6666666667,100.0,168.33333333333334,168.33333333333334,173.33333333333334,0.0
anita ko,1107039.5,0.0,960.0,960.0,960.0,0.0
anjuna,1130441.0,0.0,261.0,435.0,261.0,174.0
ann demeulemeester,1170557.5714285714,14.285714285714286,623.2857142857143,801.4285714285714,624.0,178.14285714285714
apiece apart,1168964.0,33.333333333333336,189.17,285.0,192.50333333333333,95.83
apl athletic propulsion labs,1165764.0,0.0,57.5,110.0,62.5,52.5
aquazzura,1134802.9056603773,13.845353381299965,444.70754716981133,538.5094339622641,444.89622641509436,93.80188679245283
area,1185823.0,0.0,660.0,660.0,660.0,0.0
asai,1190006.5,0.0,453.25,611.5,455.75,158.25
asceno,1155622.25,5.138888888888888,128.375,220.625,132.125,92.25
ashish,1185456.1,9.951456310679612,695.95,1123.45,697.95,427.5
atm anthony thomas melillo,1129734.0,0.0,100.0,100.0,105.0,0.0
atp atelier,1076543.6,40.0,154.8,170.4,159.8,15.6
attico,1183854.4285714286,16.757283721569436,640.5714285714286,952.7142857142857,640.5714285714286,312.14285714285717
balenciaga,1149391.7078651686,17.33268162506203,647.2621722846442,792.4250936329588,647.4681647940075,145.1629213483146
balmain,1160137.3768115942,17.40383145669677,1049.9130434782608,1554.1376811594203,1049.9130434782608,504.22463768115944
barbour,1135183.5,0.0,300.5,300.5,300.5,0.0
bella freud,1145180.4,32.06896551724138,443.0,443.0,443.0,0.0
bernadette,1158058.0,100.0,620.0,1240.0,620.0,620.0
bienen-davis,1157112.0,0.0,1500.0,1500.0,1500.0,0.0
blazé milano,1166934.0,47.03389830508475,1435.0,1435.0,1435.0,0.0
bogner,1175005.5,0.0,920.0,920.0,920.0,0.0
borgo de nor,1189383.0,100.0,423.5,605.0,423.5,181.5
bottega veneta,1152569.3714285714,28.3989703989704,1509.2285714285715,1530.1142857142856,1509.3714285714286,20.885714285714286
brock collection,1182963.0,0.0,904.0,2260.0,904.0,1356.0
brumal,1182792.0,100.0,1000.0,1000.0,1000.0,0.0
brunello cucinelli,1164581.5714285714,17.656500802568218,2417.1428571428573,2651.9285714285716,2417.1428571428573,234.78571428571428
burberry,1150822.5666666667,27.977976352350844,793.2,830.9666666666667,793.8666666666667,37.766666666666666
by far,1159961.5,29.270597127739986,266.5357142857143,372.5,268.67857142857144,105.96428571428571
camilla,1133848.0,0.0,255.0,510.0,255.0,255.0
canada goose,1159191.5,0.0,635.0,635.0,635.0,0.0
caravana,1140495.0,100.0,200.0,200.0,200.0,0.0
